Использование памяти (RSS): 306.98 MB
Использование CPU: 0.00%

         190403 function calls (179442 primitive calls) in 2.577 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.138    2.138 Trancribator.py:10(__init__)
        1    2.138    2.138    2.138    2.138 offline_recognizer.py:39(from_transducer)
        4    0.000    0.000    0.294    0.073 threading.py:1117(join)
  228/218    0.000    0.000    0.294    0.001 {method 'acquire' of '_thread.lock' objects}
        4    0.000    0.000    0.294    0.073 threading.py:1155(_wait_for_tstate_lock)
        1    0.000    0.000    0.167    0.167 offline_recognizer.py:720(create_stream)
        1    0.000    0.000    0.160    0.160 Trancribator.py:31(check_format)
        1    0.000    0.000    0.159    0.159 audio_segment.py:794(from_mp3)
        1    0.000    0.000    0.159    0.159 audio_segment.py:644(from_file)
        2    0.000    0.000    0.150    0.075 subprocess.py:1165(communicate)
        2    0.000    0.000    0.147    0.074 subprocess.py:1603(_communicate)
      4/2    0.001    0.000    0.147    0.074 threading.py:1018(_bootstrap)
      4/2    0.000    0.000    0.147    0.073 threading.py:1058(_bootstrap_inner)
        2    0.000    0.000    0.076    0.038 layer.py:485(add_weight)
   113/61    0.003    0.000    0.073    0.001 dispatch.py:1246(op_dispatch_handler)
       93    0.000    0.000    0.072    0.001 weak_tensor_ops.py:140(wrapper)
      8/2    0.000    0.000    0.071    0.036 variables.py:81(__init__)
      100    0.059    0.001    0.059    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
    44/28    0.000    0.000    0.055    0.002 variables.py:1202(_variable_call)
       16    0.000    0.000    0.055    0.003 variables.py:1223(<lambda>)
       16    0.000    0.000    0.055    0.003 variables.py:48(default_variable_creator_v2)
       16    0.000    0.000    0.055    0.003 resource_variable_ops.py:338(default_variable_creator_v2)
       16    0.000    0.000    0.054    0.003 resource_variable_ops.py:1757(__init__)
       16    0.000    0.000    0.054    0.003 resource_variable_ops.py:1901(_init_from_args)
        1    0.000    0.000    0.054    0.054 dense.py:102(build)
       14    0.000    0.000    0.037    0.003 core.py:41(<lambda>)
  201/148    0.001    0.000    0.037    0.000 tensor_conversion_registry.py:164(convert)
       11    0.000    0.000    0.035    0.003 __init__.py:1(<module>)
        5    0.000    0.000    0.034    0.007 random_initializers.py:285(__call__)
        5    0.000    0.000    0.034    0.007 random.py:31(uniform)
        5    0.000    0.000    0.034    0.007 stateless_random_ops.py:274(stateless_random_uniform)
     10/2    0.000    0.000    0.034    0.017 core.py:39(_initialize_with_initializer)
    222/2    0.001    0.000    0.034    0.017 traceback_utils.py:138(error_handler)
     40/2    0.000    0.000    0.034    0.017 variables.py:195(__call__)
       29    0.000    0.000    0.032    0.001 tensor_conversion.py:96(convert_to_tensor_v2_with_dispatch)
       29    0.000    0.000    0.032    0.001 tensor_conversion.py:166(convert_to_tensor_v2)
       67    0.000    0.000    0.024    0.000 constant_op.py:177(constant)
       52    0.000    0.000    0.024    0.000 constant_tensor_conversion.py:23(_constant_tensor_conversion_function)
       67    0.000    0.000    0.024    0.000 constant_op.py:280(_constant_impl)
        1    0.000    0.000    0.024    0.024 utils.py:247(mediainfo_json)
        5    0.000    0.000    0.022    0.004 random.py:10(_cast_seed)
       58    0.000    0.000    0.021    0.000 constant_op.py:297(_constant_eager_impl)
       58    0.019    0.000    0.021    0.000 constant_op.py:75(convert_to_eager_tensor)
 1733/997    0.002    0.000    0.021    0.000 layer.py:1436(__setattr__)
  168/123    0.000    0.000    0.021    0.000 trace.py:178(wrapped)
       54    0.000    0.000    0.020    0.000 core.py:114(convert_to_tensor)
     26/9    0.000    0.000    0.020    0.002 <frozen importlib._bootstrap>:1349(_find_and_load)
     25/8    0.000    0.000    0.019    0.002 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        5    0.000    0.000    0.018    0.004 seed_generator.py:134(draw_seed)
  168/123    0.000    0.000    0.018    0.000 ops.py:698(convert_to_tensor)
    64/10    0.000    0.000    0.018    0.002 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     24/8    0.000    0.000    0.018    0.002 <frozen importlib._bootstrap>:911(_load_unlocked)
     16/7    0.000    0.000    0.017    0.002 {built-in method builtins.__import__}
     24/8    0.000    0.000    0.017    0.002 <frozen importlib._bootstrap_external>:989(exec_module)
  476/417    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      232    0.000    0.000    0.017    0.000 {built-in method builtins.iter}
        2    0.000    0.000    0.017    0.009 trainer.py:677(enumerate_epoch)
        1    0.000    0.000    0.017    0.017 dataset_ops.py:488(__iter__)
        1    0.000    0.000    0.017    0.017 iterator_ops.py:670(__init__)
        1    0.000    0.000    0.017    0.017 iterator_ops.py:713(_create_iterator)
        1    0.000    0.000    0.016    0.016 concrete_function.py:1267(_call_flat)
        1    0.000    0.000    0.016    0.016 atomic_function.py:214(call_preflattened)
        1    0.000    0.000    0.016    0.016 atomic_function.py:219(call_flat)
1802/1152    0.002    0.000    0.016    0.000 trackable.py:15(__setattr__)
        1    0.000    0.000    0.016    0.016 context.py:1542(call_function)
        1    0.000    0.000    0.016    0.016 execute.py:28(quick_execute)
        1    0.016    0.016    0.016    0.016 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
        1    0.000    0.000    0.016    0.016 gen_dataset_ops.py:3490(make_iterator)
    56/15    0.000    0.000    0.016    0.001 func_graph.py:604(_create_op_internal)
     22/5    0.000    0.000    0.015    0.003 op_def_library.py:752(_apply_op_helper)
        1    0.000    0.000    0.013    0.013 lazy_loader.py:177(__getattr__)
        1    0.000    0.000    0.013    0.013 lazy_loader.py:49(_load)
        2    0.000    0.000    0.013    0.007 __init__.py:73(import_module)
      3/2    0.000    0.000    0.013    0.007 <frozen importlib._bootstrap>:1375(_gcd_import)
     24/8    0.000    0.000    0.013    0.002 {built-in method builtins.exec}
       39    0.001    0.000    0.012    0.000 op_def_library.py:411(_ExtractInputsAndAttrs)
    56/15    0.000    0.000    0.012    0.001 ops.py:2623(_create_op_internal)
       28    0.000    0.000    0.012    0.000 gen_resource_variable_ops.py:131(assign_variable_op)
       10    0.000    0.000    0.011    0.001 resource_variable_ops.py:2374(_dense_var_to_tensor)
       10    0.011    0.001    0.011    0.001 {built-in method _io.open}
    58/15    0.001    0.000    0.011    0.001 ops.py:1068(from_node_def)
       10    0.000    0.000    0.011    0.001 resource_variable_ops.py:1612(_dense_var_to_tensor)
       10    0.000    0.000    0.011    0.001 resource_variable_ops.py:651(value)
1731/1188    0.002    0.000    0.011    0.000 autotrackable.py:58(__setattr__)
       24    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
       10    0.000    0.000    0.011    0.001 resource_variable_ops.py:813(_read_variable_op)
        8    0.000    0.000    0.011    0.001 operation.py:199(from_config)
       10    0.000    0.000    0.011    0.001 resource_variable_ops.py:828(read_and_set_handle)
       10    0.000    0.000    0.011    0.001 gen_resource_variable_ops.py:562(read_variable_op)
        1    0.000    0.000    0.010    0.010 math_ops.py:1946(range)
        1    0.000    0.000    0.010    0.010 gen_math_ops.py:8794(_range)
30452/30413    0.004    0.000    0.010    0.000 {built-in method builtins.isinstance}
      6/3    0.000    0.000    0.009    0.003 core.py:76(__tf_tensor__)
       16    0.000    0.000    0.009    0.001 resource_variable_ops.py:199(eager_safe_variable_handle)
       16    0.000    0.000    0.009    0.001 resource_variable_ops.py:150(_variable_handle_from_shape_and_dtype)
    62/15    0.014    0.000    0.009    0.001 ops.py:1207(_init)
        7    0.000    0.000    0.009    0.001 function.py:45(__init__)
1333/1005    0.001    0.000    0.009    0.000 data_structures.py:124(sticky_attribute_assignment)
       16    0.000    0.000    0.008    0.001 gen_resource_variable_ops.py:1433(var_handle_op)
       27    0.000    0.000    0.008    0.000 tensor.py:1008(placeholder_value)
       16    0.000    0.000    0.008    0.001 layer.py:256(__init__)
1501/1023    0.001    0.000    0.008    0.000 {built-in method builtins.next}
       24    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      105    0.001    0.000    0.007    0.000 ops.py:596(__tf_tensor__)
       63    0.002    0.000    0.007    0.000 ops.py:976(_create_c_op)
  322/232    0.001    0.000    0.007    0.000 inspect.py:2497(_signature_from_callable)
      182    0.001    0.000    0.007    0.000 base.py:546(_track_trackable)
